alder,Personer 2020
0,54827
1,56012
2,57881
3,60522
4,60821
5,61096
6,61392
7,63251
8,63881
9,65675
10,66830
11,65911
12,64306
13,64640
14,63082
15,63408
16,63022
17,62051
18,63557
19,66584
20,66813
21,66164
22,67817
23,69949
24,70086
25,70853
26,72055
27,74333
28,76034
29,77648
30,77154
31,76654
32,74060
33,73772
34,72584
35,71786
36,71437
37,71816
38,70166
39,71118
40,70031
41,69500
42,67668
43,69281
44,71035
45,73922
46,74049
47,76421
48,76355
49,75401
50,76841
51,75951
52,73838
53,73303
54,71998
55,70593
56,67565
57,65729
58,64470
59,63542
60,63305
61,62531
62,60841
63,61215
64,59331
65,57742
66,56654
67,55422
68,52505
69,52949
70,52574
71,52640
72,53029
73,54001
74,47208
75,44441
76,38551
77,34707
78,29351
79,29332
80,27279
81,25071
82,22635
83,20484
84,18246
85,16809
86,15398
87,14780
88,13080
89,11698
90,9587
91,8160
92,6697
93,5637
94,4369
95,3435
96,2435
97,1733
98,1209
99,849
100,445
101,270
102,183
103,85
104,63
105,73
